club_id,tier
10000,5
10001,5
10002,5
10003,5
10007,5
10008,5
1001,3
10010,5
10012,5
10013,4
10014,5
10015,5
10016,5
10017,5
10018,5
1002,3
1003,5
10038,5
1004,3
1005,3
10052,5
10059,5
10061,5
1007,3
10075,5
10076,5
10077,5
10078,5
10085,5
10086,5
10088,5
1009,3
10091,5
10094,5
101,3
1010,3
10106,5
10107,5
10108,5
1011,3
10111,5
10112,5
10114,5
1012,4
10121,5
10124,4
10125,5
1013,4
10134,5
10137,3
10138,5
10139,5
1014,4
10140,5
10141,5
1015,4
10154,5
10155,4
10157,5
10158,5
1016,3
10160,5
10162,5
10166,5
10169,4
1017,3
1018,3
1019,4
10197,5
10199,5
102,4
10202,5
10203,5
10204,5
10205,5
10207,5
10208,5
1021,4
10211,5
10215,5
10216,5
10217,5
10221,5
1023,3
10238,5
10244,4
1025,3
1026,3
1027,4
1028,4
10280,5
10282,5
10283,5
103,4
1030,4
1031,4
1032,4
10320,5
1036,3
10368,5
1037,4
1038,5
1039,4
10399,5
104,4
1040,4
10406,5
10407,5
10408,5
10409,5
1041,4
10414,5
1044,4
1045,5
1046,4
1047,5
10472,5
10474,5
10476,5
10478,5
1048,4
10487,5
10491,5
10492,4
10494,5
105,4
1050,5
10508,5
10509,4
1051,5
10511,4
1052,5
1053,5
10533,4
10534,4
10535,4
10536,5
10537,5
10538,5
1054,5
10540,5
10542,4
10543,5
10544,5
10545,5
10546,5
10548,5
10549,5
1055,5
10550,5
10552,5
10555,5
10561,5
10562,5
10563,4
10566,5
10567,4
10569,4
1058,5
10582,5
10586,5
10587,5
10588,5
10589,5
1059,5
10592,5
10598,5
106,1
10604,5
10605,5
10606,5
10609,5
10611,5
10612,5
10614,5
10615,5
10616,5
10617,5
1062,3
10620,5
10624,5
10625,4
10626,5
10627,5
10628,5
1063,2
10633,5
10634,5
1064,4
1065,3
10659,5
1066,4
10661,5
10667,5
10669,5
1067,4
10670,5
10673,5
10675,5
10677,5
10679,5
1068,3
10684,5
1069,5
10690,5
107,4
1070,5
10704,5
1071,4
10712,5
10713,5
10715,5
1072,3
10720,5
10726,5
1074,5
10743,4
1075,4
10752,4
1076,5
1077,3
1078,4
10780,5
1079,3
10792,4
10799,5
108,2
1080,3
1083,3
1084,3
1085,3
10855,5
10859,5
10861,5
10862,4
1087,4
10872,5
10873,5
10874,4
1088,2
10881,5
1089,4
109,5
10972,5
110,3
11063,5
11064,5
11065,5
11066,5
11067,5
11069,5
11070,5
11071,5
11072,5
11073,5
11074,5
11087,5
11092,5
11095,5
111,2
11109,5
11110,5
11111,5
11112,5
11113,5
11114,5
11115,5
11117,5
11118,5
11120,5
11125,5
11127,5
11132,5
11134,5
11156,5
11174,5
112,2
1120,4
11200,5
1121,3
1122,4
1123,3
11238,4
11239,5
1124,4
1125,3
1126,4
1127,4
11271,5
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
11354,5
1136,4
1137,3
1138,3
11380,5
1139,3
114,3
1140,4
1141,4
1142,3
1143,5
1144,4
1145,5
1147,4
1148,4
1149,4
115,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,4
1156,4
11566,5
1157,4
1158,4
1159,4
116,1
1162,4
1163,4
1164,4
1165,4
11659,5
1166,5
11663,5
11664,5
1167,5
11671,5
11674,5
1168,5
11682,5
1169,5
1171,5
1174,5
1175,4
1176,4
11760,5
1177,5
1179,4
118,3
1181,5
1182,4
1183,5
1185,5
11851,5
11853,5
1186,5
11861,5
1187,5
11879,5
1188,5
1189,5
119,2
1190,5
11906,5
11907,5
1191,5
1193,3
1194,5
1195,5
1197,5
1198,4
1199,5
120,3
1201,5
1202,5
1203,5
1205,5
1208,5
121,2
1211,4
1214,5
12177,5
12178,5
12179,5
1218,5
12180,5
12181,5
12183,5
12184,5
12185,5
12186,5
12189,5
12190,5
12191,5
12195,5
12197,5
12202,5
1221,5
1222,5
1223,4
12234,5
12235,5
12236,5
1224,5
12240,5
12244,5
12248,5
12249,5
12251,5
12253,5
12255,5
12259,5
1226,5
12260,4
12261,5
12264,5
12265,5
